P36575	ENSG00000120500
Q8WWQ0	ENSG00000146247
Q8WV24	ENSG00000139289
Q9Y5J5	ENSG00000174307
Q9P1Y6	ENSG00000274780;ENSG00000070047
Q8N3S3	ENSG00000006576
P43119	ENSG00000160013
Q8WYR1	ENSG00000141506
Q9Y6X2	ENSG00000131788
Q92508	ENSG00000103335
Q92521	ENSG00000069943
Q92535	ENSG00000135845
Q9Y2B2	ENSG00000108474
Q9H3S5	ENSG00000143315
P57054	ENSG00000185808
P01833	ENSG00000162896
Q9H490	ENSG00000101464
Q7Z7B1	ENSG00000277161;ENSG00000275600
Q9P1W9	ENSG00000102096
Q9Y237	ENSG00000102309
A6NC86	ENSG00000234465
Q9BXM7	ENSG00000158828
Q9UKF7	ENSG00000154217
Q86UW1	ENSG00000163959
Q5R387	ENSG00000187980
Q9UNK4	ENSG00000117215
P0CB38	ENSG00000254535
Q9ULW8	ENSG00000280549;ENSG00000142619
Q9UM07	ENSG00000280908;ENSG00000159339
Q99487	ENSG00000158006
Q7Z2X7	ENSG00000234068
O75914	ENSG00000077264
O96013	ENSG00000130669
A0A0B4J2A2	ENSG00000263464
Q86YC2	ENSG00000083093
Q6ZVX9	ENSG00000188582
Q9H0J9	ENSG00000059378
Q9BYG4	ENSG00000178184
Q86U86	ENSG00000163939
Q9BVG4	ENSG00000102390
Q96AQ6	ENSG00000163346
P40426	ENSG00000167081
Q9BZA8	ENSG00000099715
P05165	ENSG00000175198
P05166	ENSG00000114054
Q9NPG4	ENSG00000113555
Q9HCL0	ENSG00000189184
Q9NRJ7	ENSG00000272674
Q9H158	ENSG00000248383
Q9Y5H0	ENSG00000254245
Q9Y5G7	ENSG00000253731
Q9Y5G4	ENSG00000261934
Q9Y5G2	ENSG00000253910
Q9Y5G1	ENSG00000262209
Q9Y5G0	ENSG00000276547
Q9Y5F8	ENSG00000254122
Q9UN70	ENSG00000240184
Q9Y5F6	ENSG00000240764
O60245	ENSG00000169851
Q9HC56	ENSG00000184226
Q9BSM1	ENSG00000115289
Q9H4Z3	ENSG00000100982
Q9NV79	ENSG00000280663;ENSG00000203880
Q9GZP0	ENSG00000170962
P07237	ENSG00000185624
P30101	ENSG00000167004
Q9Y2S7	ENSG00000004142
Q9BY77	ENSG00000100227
Q16654	ENSG00000004799
Q9P0J1	ENSG00000164951
Q86YL7	ENSG00000162493
Q29RF7	ENSG00000121892
Q9NTI5	ENSG00000083642
Q6P996	ENSG00000276709;ENSG00000179889;ENSG00000275498
Q5EBL8	ENSG00000120509
O15018	ENSG00000133401
Q8NEN9	ENSG00000165650
P43116	ENSG00000125384
Q9NRJ5	ENSG00000218823
O95340	ENSG00000198682
Q9NXK6	ENSG00000137819
Q6TCH4	ENSG00000160781
Q15546	ENSG00000108960
Q9NR21	ENSG00000111224
O00254	ENSG00000164220
O95453	ENSG00000140694;ENSG00000274829
P09874	ENSG00000143799
Q8N3A8	ENSG00000151883
P15863	ENSG00000125813
P26367	ENSG00000007372
P30039	ENSG00000108187
Q9BZA7	ENSG00000102290
Q7L5N7	ENSG00000087253
Q15366	ENSG00000197111
Q8TAB3	ENSG00000165194
Q9Y5I3	ENSG00000204970
Q9Y5H9	ENSG00000204969
Q9UN75	ENSG00000251664
Q9Y5F3	ENSG00000171815
Q9Y5E5	ENSG00000081818
Q9Y5E8	ENSG00000113248
Q96TA0	
Q9Y5I4	ENSG00000243232
Q9Y5H1	ENSG00000081853
Q9Y5G9	ENSG00000262576
Q9Y5G8	ENSG00000253485
Q9Y5G6	ENSG00000253537
Q9Y5G5	ENSG00000253767
Q9Y5H3	ENSG00000253846
Q9Y5H2	ENSG00000253873
Q9Y5G3	ENSG00000254221
Q9Y5F9	ENSG00000253305
Q96NT5	ENSG00000076351
P35558	ENSG00000124253
Q15116	ENSG00000276977;ENSG00000188389
Q08499	ENSG00000113448
O76074	ENSG00000138735
P51160	ENSG00000095464
O43924	ENSG00000156973
O95263	ENSG00000113231
Q9BY49	ENSG00000115425
Q96HM7	ENSG00000179715
Q96FA3	ENSG00000197329
Q8N2H9	ENSG00000174516
Q9BRX2	ENSG00000152684
Q9UBM1	ENSG00000133027
P01210	ENSG00000181195
P12955	ENSG00000124299
Q8NDH3	ENSG00000215440
O60437	ENSG00000118898
P40855	ENSG00000162735
Q96BD5	ENSG00000135365
P43088	ENSG00000122420
P10720	ENSG00000109272
Q8N0Y7	ENSG00000226784
Q96JS3	ENSG00000137338
Q8N414	ENSG00000177614
P98160	ENSG00000142798
Q9H7Z7	ENSG00000148334
Q8NBL1	ENSG00000163389
Q15124	ENSG00000154330
A6NFU8	ENSG00000183571
Q32NB8	ENSG00000087157
O15173	ENSG00000164040
Q96LB9	ENSG00000159527
Q9NVD7	ENSG00000197702
Q8WXA2	ENSG00000171053
Q96IZ0	ENSG00000177425
P23760	ENSG00000135903
P40425	ENSG00000206315;ENSG00000237344;ENSG00000225987;ENSG00000232005;ENSG00000236353;ENSG00000204304;ENSG00000224952
A6NKN8	ENSG00000248485
Q5JVF3	ENSG00000126226
Q9Y6V0	ENSG00000186472
P48539	ENSG00000183036
Q9UHG2	ENSG00000102109
Q92824	ENSG00000099139
P29122	ENSG00000140479
Q8NBP7	ENSG00000169174
A6NKB5	ENSG00000135749
Q9BRP1	ENSG00000126249
Q9NP56	ENSG00000171408
O60658	ENSG00000073417
P04085	ENSG00000197461
Q9NRA1	ENSG00000145431
Q6A1A2	
Q9NUG6	ENSG00000088356
Q9NZ53	ENSG00000114631
A8MUH7	
Q76G19	ENSG00000067840
Q9UBV8	ENSG00000162517
Q96RR1	ENSG00000107815
P14222	ENSG00000180644
P22079	ENSG00000167419
Q96FX8	ENSG00000112378
O75381	ENSG00000142655
Q7Z412	ENSG00000215193
P28328	ENSG00000164751
P56589	ENSG00000034693
P50542	ENSG00000139197
O00628	ENSG00000112357
Q86UW2	ENSG00000186198
Q9NRP0	ENSG00000198856
Q86WC4	ENSG00000081087
Q8NHW6	ENSG00000178602
Q5VVQ6	ENSG00000180667
Q8N6M0	ENSG00000155100
Q96FW1	ENSG00000167770
O00110	ENSG00000105261
P83859	ENSG00000188710
A8CG34	
P32322	ENSG00000183010
P54886	ENSG00000059573
Q8NBR0	ENSG00000167543
Q9H3D4	ENSG00000073282
Q8WXI9	ENSG00000143614;ENSG00000261992
A6NDB9	ENSG00000187867
Q9NP74	ENSG00000099260
Q7Z3H0	ENSG00000167612
Q6ZW49	ENSG00000157212
Q15365	ENSG00000169564
P57723	ENSG00000090097
Q96JQ0	ENSG00000166341
O14917	ENSG00000118946
Q9Y5H7	ENSG00000204965
Q9UN72	ENSG00000204963
Q9Y5I2	ENSG00000250120
Q9Y5E6	ENSG00000113205
Q9Y5E2	ENSG00000113212
Q9UN67	ENSG00000120324
Q9Y5F1	ENSG00000120328
Q9Y5E9	ENSG00000120327
O60330	ENSG00000253159
Q9UN71	ENSG00000253953
Q9Y5F7	ENSG00000242419
Q08174	ENSG00000156453
O95206	ENSG00000136099
O94913	ENSG00000165494
P35227	ENSG00000278644;ENSG00000277258
Q86SE9	ENSG00000180628
Q15645	ENSG00000071539
Q96MG8	ENSG00000168300
P12004	ENSG00000132646
Q8NBM8	ENSG00000145882
Q13258	ENSG00000168229
O14737	ENSG00000105185
Q9H2J4	ENSG00000115539
Q9HCR9	ENSG00000128655
P54750	ENSG00000115252
Q01064	ENSG00000123360
Q14432	ENSG00000172572
P35913	ENSG00000133256
P01127	ENSG00000100311
P50479	ENSG00000131435
Q96HC4	ENSG00000163110
P36955	ENSG00000132386
Q86TG7	ENSG00000242265
Q8IZL8	ENSG00000141456
O15055	ENSG00000132326
P40424	ENSG00000185630
P57721	ENSG00000183570
Q3KNV8	ENSG00000185619
Q15154	ENSG00000078674
Q8N8D1	ENSG00000090470
O76083	ENSG00000160191
Q13087	ENSG00000185615
P13667	ENSG00000155660
Q8N807	ENSG00000169340
O15530	ENSG00000140992
Q13113	ENSG00000162366
Q9H5P4	ENSG00000186862
P30086	ENSG00000089220
Q96S96	ENSG00000134020
P16284	
Q9H1Q7	ENSG00000132635
Q8IYB4	ENSG00000114757
O60925	ENSG00000113068
Q99471	ENSG00000123349
P18669	ENSG00000171314
Q15198	ENSG00000104213
Q32M88	ENSG00000142102
Q16612	ENSG00000134986
O14511	ENSG00000158458
P56975	ENSG00000185737
Q9BQI9	ENSG00000053702
Q8IXM6	ENSG00000137404;ENSG00000206484;ENSG00000235773;ENSG00000234809;ENSG00000228867;ENSG00000228854;ENSG00000236843
Q9GZP1	ENSG00000125841
Q9HDB5	ENSG00000021645
Q8NFH5	ENSG00000163002
A6NF83	ENSG00000185290
Q149M9	ENSG00000188039
Q9H1B4	ENSG00000126952
Q96DL1	ENSG00000204361
O95157	ENSG00000182575
Q6NXP6	ENSG00000165555
Q9P242	ENSG00000144460
Q9GZU5	ENSG00000188937
Q9H208	ENSG00000170790
Q9H209	ENSG00000170782
Q8NH74	ENSG00000280899;ENSG00000276451;ENSG00000279000
Q8NH08	
Q8NGE0	ENSG00000172640
Q96KK4	ENSG00000230505;ENSG00000229412;ENSG00000204689;ENSG00000224234;ENSG00000206474;ENSG00000232397
Q8NGC3	ENSG00000255582
Q8NGN3	ENSG00000254737
Q8NGN6	ENSG00000182634
Q8NGN4	ENSG00000236981
O60403	ENSG00000171942
Q8NGA6	ENSG00000172519
Q5JRS4	ENSG00000196266
Q8NH07	ENSG00000258453
A6NHA9	ENSG00000185926
Q8NGB8	ENSG00000182854
Q8NGJ7	ENSG00000205496
Q8NH64	ENSG00000176895
Q9Y5P0	ENSG00000183251
Q9H340	ENSG00000176239
Q9H255	ENSG00000167332
Q8NGK0	ENSG00000176893
Q9H342	ENSG00000184321
Q9H341	ENSG00000184698
Q8NGJ8	ENSG00000176922
Q9H2C8	ENSG00000176742
Q9H2C5	ENSG00000171944
Q8NGK2	ENSG00000221996
Q8NGH6	
Q8NH57	
P0C646	
Q8NH54	ENSG00000184478
Q8NGH5	ENSG00000180934
P0C628	
Q9NZP5	ENSG00000196578
Q8NGP9	ENSG00000172459
Q8NGC0	ENSG00000169327
A6NDH6	ENSG00000233412
A6NDL8	ENSG00000205327
A6NCV1	ENSG00000197706
Q6IFN5	ENSG00000237521
Q5TC84	ENSG00000119900
P13725	ENSG00000099985
O60422	ENSG00000205922
Q86WS3	ENSG00000149507
Q9BZF3	ENSG00000079156
Q8WVF1	ENSG00000116885
Q9UJX0	ENSG00000140961
Q7RTW8	ENSG00000155719
P32243	ENSG00000165588
Q7RTY7	ENSG00000187950
P14920	ENSG00000110887
Q96P68	ENSG00000165621
Q96RQ9	ENSG00000104951
Q9NWU1	ENSG00000151093
O95747	ENSG00000172939
Q96HA1	ENSG00000196313
P47712	ENSG00000116711
Q86XP0	ENSG00000159337
Q68DD2	ENSG00000168907
Q9NZ20	ENSG00000100078
Q9BRP4	ENSG00000175575
Q9BY11	ENSG00000124507
Q96M98	ENSG00000112530
P41586	ENSG00000078549
Q86VP3	ENSG00000179364
P23352	ENSG00000011201
Q9P2N6	ENSG00000114982
P31321	ENSG00000188191
P17612	ENSG00000072062
P22694	ENSG00000142875
O75600	ENSG00000100116
Q9NYS0	ENSG00000197885
Q8NFY9	ENSG00000163376
P48730	ENSG00000141551
P78368	ENSG00000133275
Q9Y6M4	ENSG00000151292
O43448	ENSG00000170049
Q16566	ENSG00000152495
Q17RG1	ENSG00000168676
Q09470	ENSG00000111262
P17658	
Q96RP8	ENSG00000104848
P15382	ENSG00000180509
P63252	ENSG00000123700
P48549	ENSG00000162989
Q92806	ENSG00000162728
O00180	ENSG00000135750
Q9NPC2	ENSG00000169427
P57789	ENSG00000100433
O15554	ENSG00000104783
Q9NR82	ENSG00000185760
Q96KK3	ENSG00000124134
P06732	ENSG00000104879
P17540	ENSG00000131730
Q9Y597	ENSG00000136636
P30085	ENSG00000162368
Q9Y4C1	ENSG00000115548
O94953	ENSG00000127663
Q9H3R0	ENSG00000107077
Q6B0I6	ENSG00000186280
Q9UGL1	ENSG00000117139
O15550	ENSG00000147050
Q8N371	ENSG00000155666
O60938	ENSG00000139330
Q9H1H9	ENSG00000137177
Q96L93	ENSG00000089177
P43627	ENSG00000275407;ENSG00000275546;ENSG00000276011;ENSG00000275914;ENSG00000278731;ENSG00000276731
P43628	ENSG00000275008;ENSG00000283790;ENSG00000243772;ENSG00000277484;ENSG00000275658;ENSG00000277317;ENSG00000274830;ENSG00000274402;ENSG00000273887;ENSG00000284333;ENSG00000274952;ENSG00000276218;ENSG00000277924;ENSG00000276590;ENSG00000278327;ENSG00000274108;ENSG00000276459;ENSG00000283702;ENSG00000284510;ENSG00000284504;ENSG00000274410;ENSG00000275623;ENSG00000283708;ENSG00000277554
Q14954	
Q14953	
P43629	ENSG00000284426;ENSG00000276423;ENSG00000275288;ENSG00000274036;ENSG00000167633
P43630	ENSG00000283975;ENSG00000275566;ENSG00000275626;ENSG00000275083;ENSG00000274722;ENSG00000276739;ENSG00000284063;ENSG00000275416;ENSG00000276357;ENSG00000278361;ENSG00000277181;ENSG00000278474;ENSG00000278809;ENSG00000276004;ENSG00000240403;ENSG00000278442;ENSG00000283951
P46013	ENSG00000148773
Q86VH2	ENSG00000165115
B7ZC32	
Q9BW19	ENSG00000233450;ENSG00000204197;ENSG00000237649
Q8NEE0	
Q6PID8	ENSG00000128607
Q9Y2Y9	ENSG00000169926;ENSG00000275746
Q9BXK1	ENSG00000129911
Q99612	ENSG00000067082
Q9H0H3	ENSG00000183655
Q9P2K6	ENSG00000087448
Q9UBX7	ENSG00000167757
Q9P0G3	ENSG00000129437
P06870	ENSG00000167748
Q9Y5K2	ENSG00000167749
O60259	ENSG00000129455
Q12918	ENSG00000111796
Q13241	ENSG00000134539
Q9NZS2	ENSG00000150045
Q96E93	ENSG00000139187
Q9BZL6	ENSG00000105287
Q05655	ENSG00000163932
Q05513	ENSG00000067606
Q14558	ENSG00000161542
P11801	ENSG00000159792
Q9BYP8	ENSG00000263341;ENSG00000186860
Q3LHN2	ENSG00000186965
Q3LI70	ENSG00000186925
Q3LI62	ENSG00000206105
Q3LI59	ENSG00000187026
Q07627	ENSG00000188581;ENSG00000262808
Q9BYU5	ENSG00000261852;ENSG00000212725
Q8IUC2	ENSG00000183640
A8MXZ3	ENSG00000240542
Q9BYQ4	ENSG00000263090;ENSG00000239886
Q9BYQ2	ENSG00000241595;ENSG00000262896;ENSG00000262512
A8MTY7	ENSG00000180386;ENSG00000262221
Q9BYQ0	ENSG00000187272
Q8N9T8	ENSG00000129347
O00522	ENSG00000001631
P23443	ENSG00000108443
Q6VAB6	ENSG00000171435
Q8N1A0	ENSG00000213424
Q9UGV2	ENSG00000101079
Q9H3R1	ENSG00000138653
P56556	ENSG00000184983;ENSG00000281013;ENSG00000272765;ENSG00000277365;ENSG00000273397
Q16795	ENSG00000139180
O43920	ENSG00000168653
O75251	ENSG00000115286
Q9Y4A8	ENSG00000050344
O94916	ENSG00000102908
Q00653	ENSG00000077150
Q9UJF2	ENSG00000075391
Q9Y4Z2	ENSG00000122859
P0CG21	ENSG00000257108
Q9NX24	ENSG00000145912
Q6T4R5	ENSG00000188158
P14543	ENSG00000116962
Q9NQR4	ENSG00000114021
Q4KMZ8	ENSG00000084628
O43908	ENSG00000183542
Q17RQ9	ENSG00000179846
P30414	ENSG00000114857
A6NCS4	ENSG00000180053
P78367	ENSG00000109705
Q8NFZ3	ENSG00000165246
Q9UBE8	ENSG00000087095
Q9C000	ENSG00000091592
P59044	ENSG00000174885
Q86UT6	ENSG00000160703
Q8NC60	ENSG00000084092
Q9BVI4	ENSG00000184967
Q9Y239	ENSG00000106100
Q99784	ENSG00000130558
O95897	ENSG00000105088
Q96PB7	ENSG00000118733
Q15155	ENSG00000103512;ENSG00000274779
P69849	ENSG00000278087;ENSG00000103226
O00567	ENSG00000101361
Q04721	ENSG00000134250
Q9UM47	ENSG00000074181
O15259	ENSG00000144061
O75161	ENSG00000131697
A6NJ64	
Q8WTW4	ENSG00000114388
O95502	ENSG00000221890
Q99463	
P01303	ENSG00000122585
P16083	ENSG00000124588
P20393	ENSG00000126368
Q14995	ENSG00000174738
O75469	ENSG00000144852
Q9Y466	ENSG00000112333
P10588	ENSG00000160113
Q9H7Z3	ENSG00000119720
Q9H019	ENSG00000117640
Q96A72	ENSG00000111196
O14880	ENSG00000143198
Q9UQ53	ENSG00000161013;ENSG00000284501
Q8N4C8	ENSG00000141503
Q9NXC5	ENSG00000164654
Q8IXI2	ENSG00000126858
Q8IXI1	ENSG00000140983
Q9H081	ENSG00000167842
Q8NDC0	ENSG00000168175
Q8WV92	ENSG00000158411
Q70IA8	ENSG00000142961
Q96PD6	ENSG00000124003
Q8TE76	ENSG00000133131
Q6UVY6	ENSG00000079931
Q02750	ENSG00000169032
P36507	ENSG00000126934
P52564	ENSG00000108984
O95563	ENSG00000143158
O75970	ENSG00000107186
Q8N594	ENSG00000008382
O00566	ENSG00000124383
Q99550	ENSG00000051825
O75439	ENSG00000105819
A8MV57	
P39210	ENSG00000115204
O95297	ENSG00000197965
Q9Y6F6	ENSG00000072952
Q9NYP9	ENSG00000159055
Q9GZW8	ENSG00000166927
Q6P1R3	ENSG00000120458
Q96H12	ENSG00000066697
Q8NHP6	ENSG00000130150
Q4VC12	ENSG00000166343
Q9BUK6	ENSG00000125459
P28360	ENSG00000163132
P35548	ENSG00000120149
Q8WXB1	ENSG00000144401
Q9H867	ENSG00000100483
P25713	ENSG00000087250
Q13126	ENSG00000099810
Q7Z6M4	ENSG00000122085
Q9UDX5	ENSG00000242114
Q9H4K7	ENSG00000101181
O43439	ENSG00000078699
Q9Y4I5	ENSG00000132749
O43193	ENSG00000102539
P04637	ENSG00000141510
O00459	ENSG00000105647
Q15102	ENSG00000079462
P53816	ENSG00000176485
Q9UKS6	ENSG00000165912
Q6TGC4	ENSG00000276747;ENSG00000280949
P09466	ENSG00000122133
Q8WX93	ENSG00000129116
Q9NVE7	ENSG00000157881;ENSG00000273494
Q96RD6	ENSG00000073150
Q5QFB9	
Q8NDF8	ENSG00000121274
P51003	ENSG00000090060
Q8N4S7	ENSG00000162073
Q8IY49	ENSG00000136297
Q53GL7	ENSG00000178685
Q460N3	ENSG00000173200
P25116	ENSG00000181104
Q8TEW8	ENSG00000116117
O43316	ENSG00000106331
Q9BYU1	ENSG00000105717
Q9P2E7	ENSG00000138650
Q96QU1	ENSG00000150275
Q8N6Y1	ENSG00000280165
Q6V1P9	ENSG00000284227;ENSG00000197410
Q9Y5H8	ENSG00000255408
Q9UN74	ENSG00000204967
Q9UN73	ENSG00000081842
Q9Y5H6	ENSG00000204962
Q9Y5H5	ENSG00000204961
Q9Y5I1	ENSG00000249158
Q9Y5I0	ENSG00000239389
Q9Y5E7	ENSG00000112852
Q9Y5E4	ENSG00000113209
Q9Y5E3	ENSG00000113211
Q9UN66	ENSG00000120322
Q9Y5E1	ENSG00000177839
Q9Y5F2	ENSG00000197479
Q9Y5F0	ENSG00000187372
Q9Y5H4	ENSG00000204956
Q4G0U5	ENSG00000163075
Q16822	ENSG00000100889
Q7Z2X4	ENSG00000153823
Q15113	ENSG00000106333
Q6UW60	ENSG00000115257
P49585	ENSG00000161217
Q99447	ENSG00000185813
Q9NZQ7	ENSG00000120217
Q8WUM4	ENSG00000170248
Q53EL6	ENSG00000150593
O75340	ENSG00000249915
Q14123	ENSG00000154678
P27815	ENSG00000065989
Q07343	ENSG00000184588
Q13946	ENSG00000205268
Q96E52	ENSG00000162600
P23515	ENSG00000126861
O43913	ENSG00000164815
Q96BN8	ENSG00000154124
Q6IE37	
Q15072	ENSG00000167635
Q6GTS8	ENSG00000162877
Q969Q6	ENSG00000092020
P56373	ENSG00000109991
Q99571	ENSG00000135124
P39877	ENSG00000127472
P14555	ENSG00000188257
Q9NZK7	ENSG00000188784
O15496	ENSG00000069764;ENSG00000276870
P11940	ENSG00000070756
Q86U42	ENSG00000100836
Q13310	ENSG00000090621
P18509	ENSG00000141433
Q9ULC6	ENSG00000281459;ENSG00000142623
Q9Y2J8	ENSG00000117115
Q9H074	ENSG00000172239
Q13153	ENSG00000149269
Q504Q3	ENSG00000135473
Q86V24	ENSG00000006831
Q96RI0	ENSG00000127533
Q9NWS1	ENSG00000185480
Q9H300	ENSG00000175193
Q6UWI2	ENSG00000169116
Q7Z3E1	ENSG00000163659
B3GLJ2	ENSG00000236027
Q9UKZ9	ENSG00000163710
Q96RV3	ENSG00000100731
Q9H6A9	ENSG00000197136
Q63HM2	ENSG00000126773
Q9BQ51	ENSG00000197646
Q9Y5Y4	ENSG00000183134
Q8N4E4	ENSG00000163440
Q6L8Q7	ENSG00000174840
O00408	ENSG00000186642
P52945	ENSG00000139515
Q14982	ENSG00000183715
P47890	ENSG00000183024
Q8NGS3	ENSG00000136834
Q8NH94	ENSG00000173679
Q8NGR2	ENSG00000171459
Q8NH06	
Q8NGQ3	ENSG00000197887
Q96R48	ENSG00000221836
P58173	ENSG00000124657
Q8NGH3	ENSG00000178358
Q8NGZ5	ENSG00000177489
Q9GZK4	ENSG00000229408;ENSG00000204688;ENSG00000224395;ENSG00000232984;ENSG00000235132;ENSG00000206516;ENSG00000229125;ENSG00000206471
O76001	ENSG00000233618;ENSG00000226271;ENSG00000206522;ENSG00000229866;ENSG00000232178;ENSG00000204701;ENSG00000233636
O43869	ENSG00000275244;ENSG00000273508;ENSG00000175143
Q8NH03	ENSG00000278377;ENSG00000277113;ENSG00000196539
Q8NHC8	ENSG00000278689;ENSG00000198104;ENSG00000278659
Q8NHB1	ENSG00000185372
Q9Y3N9	ENSG00000206525;ENSG00000227639;ENSG00000234101;ENSG00000228977;ENSG00000229328;ENSG00000228652;ENSG00000226463;ENSG00000204704
P47888	ENSG00000159961
Q8NH83	ENSG00000221840
Q8NGF8	ENSG00000175619
Q8NH72	ENSG00000181903
Q96R67	ENSG00000284255;ENSG00000221954
Q8NGM1	ENSG00000181939
Q15615	ENSG00000141194
Q8NGJ1	ENSG00000166884
Q8NGI6	ENSG00000254466
Q8NGC2	ENSG00000221977
Q96R69	ENSG00000177693
Q96R09	ENSG00000172365
Q96R08	ENSG00000172362
A6NMS3	ENSG00000196098
Q8NGP8	ENSG00000255012
Q8NGP6	ENSG00000181371
Q6IEU7	ENSG00000254834
Q8WZ92	ENSG00000183303;ENSG00000280931;ENSG00000276025
Q8NH85	ENSG00000279961
Q8NGG3	ENSG00000261897;ENSG00000172489
Q8NH69	ENSG00000187612
O95007	ENSG00000221813
Q96RD1	ENSG00000205330
Q8NGE1	ENSG00000179626
O76100	ENSG00000127515
Q8NGA0	ENSG00000161807
Q8NGU2	ENSG00000258083
Q8WV07	ENSG00000149716
O43612	ENSG00000161610
Q53FV1	ENSG00000123353
Q9Y619	ENSG00000102743
Q8N2R0	ENSG00000164920
Q92882	ENSG00000134996
Q3ZCN5	ENSG00000165899
Q7RTS6	ENSG00000183034
Q96DC9	ENSG00000089723;ENSG00000277276
P30559	ENSG00000180914
O15547	ENSG00000099957
Q99572	ENSG00000089041
Q8IVL6	ENSG00000110811
Q96FE7	ENSG00000100100
Q5MIZ7	ENSG00000275052
Q53H96	ENSG00000104524;ENSG00000276657
Q86YP4	ENSG00000167491
Q9UQ80	ENSG00000170515
Q96DU9	ENSG00000174740
Q8N7B6	ENSG00000163138
Q6VY07	ENSG00000175115
Q8NC51	ENSG00000142864
Q13177	ENSG00000180370
Q9Y536	ENSG00000263353
P0DN37	ENSG00000236334
Q9H999	ENSG00000120137
Q96QZ0	ENSG00000154143
Q6QHF9	ENSG00000148832
Q4VXU2	ENSG00000101104
Q5XG87	ENSG00000112941
Q9BWT3	ENSG00000115421
Q86W56	ENSG00000227345
Q99497	ENSG00000116288
Q9Y6F1	ENSG00000041880
Q6UY27	ENSG00000196844
P0C8F1	ENSG00000237353
Q86TB9	ENSG00000166889
Q9HBE1	ENSG00000100105
E2RYF7	
Q9GZY1	ENSG00000254440
Q8NF37	ENSG00000153395
Q9BYE7	ENSG00000156374
Q96PE5	ENSG00000197430
Q9H1Y3	ENSG00000054277
P41145	ENSG00000082556
Q9Y585	ENSG00000172150
Q8NGR6	ENSG00000280094
P47887	ENSG00000127780
Q8NHA8	
Q8NGS2	ENSG00000197233
Q8NGA1	ENSG00000170929
Q8NGR9	ENSG00000171501
Q8NH92	ENSG00000280204
P59922	
Q8N628	ENSG00000196242
Q13607	ENSG00000213215
Q5TZ20	ENSG00000188558
Q8NGU4	
Q9GZK6	ENSG00000204702;ENSG00000226931
Q8NGT1	ENSG00000171133
Q8NG83	ENSG00000228198
Q8NG81	ENSG00000177186
Q6IF00	ENSG00000275754;ENSG00000276821;ENSG00000196240
Q6IEZ7	ENSG00000203661;ENSG00000273827;ENSG00000275102
A6NH00	ENSG00000177462
A6NFC9	
P47881	ENSG00000180090
P47893	ENSG00000221882
Q8NGN8	
P0C604	
Q8NH37	ENSG00000176547
Q6IEV9	ENSG00000172188
Q8NGP0	ENSG00000258817
Q8NGN0	ENSG00000171014
Q8NGE8	ENSG00000172742
P0C645	
Q6IEY1	ENSG00000284733;ENSG00000284662;ENSG00000230178
Q8NGD4	ENSG00000155249
Q8NH43	ENSG00000176246
Q8NGB6	ENSG00000274102
Q8N0Y3	ENSG00000183706
P0C623	
Q8NGB4	ENSG00000176555
Q8NH49	ENSG00000176567
Q8NGR4	ENSG00000148215
Q8NGL1	ENSG00000186119
A6NKK0	ENSG00000231192
P0DN80	
Q8NH18	ENSG00000174957
Q8NHB8	ENSG00000231861
Q8NGL2	ENSG00000279395
Q8NGP3	ENSG00000150269
Q96RB7	ENSG00000255223
Q8WZ94	ENSG00000280808;ENSG00000182334;ENSG00000278253
Q8NGG2	ENSG00000181718;ENSG00000262851
A6NF89	ENSG00000188324
Q8NGY3	ENSG00000203757
Q8NGY5	ENSG00000197403
Q8NH40	ENSG00000181803
Q8N148	ENSG00000277378;ENSG00000225781
Q15622	ENSG00000188269
O60412	ENSG00000127529
Q8NG98	ENSG00000174667
P0DMU2	
Q96RD0	ENSG00000284680
Q8WZ84	ENSG00000196341
Q8NGG1	
Q8NGG0	ENSG00000167822
Q8NH50	ENSG00000181752
Q8NH10	ENSG00000172199
P0C7N5	
P0C7N8	
Q8NGQ6	ENSG00000172377
Q96SN7	ENSG00000160991
Q13415	ENSG00000085840
Q9Y5N6	ENSG00000091651
Q8N138	ENSG00000172057
Q9Y3B8	ENSG00000076043
Q13438	ENSG00000135506
Q9BXB5	ENSG00000144645
Q9NX31	ENSG00000132823
P0C6T2	ENSG00000228474
Q9NRC9	ENSG00000125879
Q5XKR4	ENSG00000171540
Q8TE49	ENSG00000169918
Q5VV17	ENSG00000165312
Q01804	ENSG00000164164
P32242	ENSG00000115507
Q8WZ82	ENSG00000262664
Q7RTZ1	ENSG00000183378
Q12889	ENSG00000085465
O14753	ENSG00000172818
Q9BRP0	ENSG00000125850
P41217	ENSG00000091972
Q5BKU9	ENSG00000204237
Q8N573	ENSG00000164830
Q3SYA9	
Q5VU65	ENSG00000143552
E9PI22	ENSG00000255251;ENSG00000274540
Q9Y5P8	ENSG00000167393
P41231	ENSG00000175591
O15460	ENSG00000072682
Q7Z4N8	ENSG00000149380
Q8TCG2	ENSG00000038210
Q6IN85	ENSG00000100796
Q15004	ENSG00000166803
Q5JUK9	ENSG00000204279
P05120	ENSG00000197632
Q9NQU5	ENSG00000137843
F5H284	ENSG00000256374
Q8IXS6	ENSG00000243444
O75781	ENSG00000099864
Q58A45	ENSG00000152520
Q8TE04	ENSG00000152782
Q6GQQ9	ENSG00000264522
O43613	ENSG00000121764
O43614	ENSG00000137252
Q15070	ENSG00000155463
Q99489	ENSG00000203797
Q8IYS1	ENSG00000146281
A8MW92	ENSG00000129292
Q06190	ENSG00000073711
P51575	ENSG00000108405
